api_type,kind,member,type,default,status,comment
ETcVn2dCodeSearchStrategy,Enums,TCVN_CSS_DEFAULT,UDINT,,present,"The algorithm searches for codes using the default searching strategy, all other flags are ignored (dependant on code type)."
ETcVn2dCodeSearchStrategy,Enums,TCVN_CSS_ONLY_NOT_INVERTED,UDINT,,present,The algorithm searches for codes only in the non-inverted image.
ETcVn2dCodeSearchStrategy,Enums,TCVN_CSS_FIRST_NOT_INVERTED,UDINT,,present,The algorithm first searches for codes in the non-inverted and then in the inverted image.
ETcVn2dCodeSearchStrategy,Enums,TCVN_CSS_ONLY_INVERTED,UDINT,,present,The algorithm searches for codes only in the inverted image.
ETcVn2dCodeSearchStrategy,Enums,TCVN_CSS_FIRST_INVERTED,UDINT,,present,The algorithm first searches for codes in the inverted and then in the non-inverted image.
ETcVn2dCodeSearchStrategy,Enums,TCVN_CSS_ONLY_NOT_FLIPPED,UDINT,,present,The algorithm searches for codes only in the non-mirrored image.
ETcVn2dCodeSearchStrategy,Enums,TCVN_CSS_FIRST_NOT_FLIPPED,UDINT,,present,The algorithm first searches for codes in the non-mirrored and then in the mirrored image.
ETcVn2dCodeSearchStrategy,Enums,TCVN_CSS_ONLY_FLIPPED,UDINT,,present,The algorithm searches for codes only in the mirrored image.
ETcVn2dCodeSearchStrategy,Enums,TCVN_CSS_FIRST_FLIPPED,UDINT,,present,The algorithm first searches for codes in the mirrored and then in the non-mirrored image.
ETcVnAdaptiveThresholdMethod,Enums,TCVN_ATM_MEAN,DINT,,present,"The threshold value is calculated as the mean of the nBlockSize x nBlockSize neighborhood of (x,y) minus fConstant."
ETcVnAdaptiveThresholdMethod,Enums,TCVN_ATM_GAUSSIAN,DINT,,present,"The threshold value is the weighted sum (cross-correlation with a Gaussian window) of the nBlockSize x nBlockSize neighborhood of (x,y) minus fConstant."
ETcVnBarcodeSearchDirection,Enums,TCVN_BSD_ANY,UDINT,,present,The algorithm searches for codes in any supported directions.
ETcVnBarcodeSearchDirection,Enums,TCVN_BSD_HORIZONTAL,UDINT,,present,The algorithm searches for codes in horizontal direction.
ETcVnBarcodeSearchDirection,Enums,TCVN_BSD_VERTICAL,UDINT,,present,The algorithm searches for codes in vertical direction.
ETcVnBarcodeType,Enums,TCVN_BT_CODABAR,UDINT,,present,The algorithm searches for Codabar codes.
ETcVnBarcodeType,Enums,TCVN_BT_CODE39,UDINT,,present,The algorithm searches for Code-39 codes.
ETcVnBarcodeType,Enums,TCVN_BT_CODE93,UDINT,,present,The algorithm searches for Code-93 codes.
